Headline,Source
33 Reasons Jason Bateman Is The Unsung Hottie You Should Be Drooling Over,BuzzFeed
I Just Wanna Party,BuzzFeed
13 Things We’ve Learned From The Creators Of “Coraline” And “ParaNorman”,BuzzFeed
Immigrant X: On The Border Between Reality And Fiction,BuzzFeed
10 Life Lessons From Daniel Handler aka Lemony Snicket,BuzzFeed
42 Ways Bay Cities Sandwiches Are Literally Heaven On Earth,BuzzFeed
How BuzzFeed Helped Land Me A Job,BuzzFeed
Second Best Picture Of Kim Kardashian Ever,BuzzFeed
11 Things You Should Never Say To Someone With ADHD,BuzzFeed
These Inspiring Ads Show Two Women Taking Off Their Makeup To Reveal Their Beautiful Imperfections,BuzzFeed
84 Thoughts Every Mets Fan Will Have Over The Course Of The Season,BuzzFeed
"Mississippi Approves Religious Freedom Bill, Governor Signs It Into Law",BuzzFeed
When Makeup Changes Lives Leads The Daily Links,BuzzFeed
5 Ways To Make Your Car Battery Last Longer,BuzzFeed
How Long Would You Survive In A Zombie Apocalypse?,BuzzFeed
Which Children’s Book Character Are You?,BuzzFeed
Guantanamo Defense Team Demands Release Of Full CIA Torture Report,BuzzFeed
Introducing BuzzFeed Ideas,BuzzFeed
Riot Square Sanctificare,BuzzFeed
To Body Mod Away From Brownness And Back,BuzzFeed
A “Mindy Project” Roundtable,BuzzFeed
Yummy Food Trucks In NYC You HAVE To Try,BuzzFeed
21 Cuentas de Instagram que te harán querer viajar a Guatemala,BuzzFeed
Veja o que aconteceu no Instagram depois que Thaila Ayala postou uma foto tomando café na cama,BuzzFeed
Russia Threatens Retaliation Against U.S. Embassy Over JPMorgan Blocking Embassy Payment,BuzzFeed
12 Neat Tips For Using Myspace,BuzzFeed
15 Ads Combatting Street Harassment On Philadelphia Transit,BuzzFeed
The Definitive Ranking Of All The Songs On “Nashville”,BuzzFeed
Which ’80s Cartoon Series Are You?,BuzzFeed
How Well Do You Know Mary-Kate Olsen?,BuzzFeed
17 Stunning Places In Brazil You Need To See Before You Die,BuzzFeed
Adam And Eve: 18 Reincarnations From Pop Culture,BuzzFeed
14 Reasons Why Lad Culture Isn’t All That Bad,BuzzFeed
This Beyoncé-Inspired Ode To In-N-Out Burger Is Going To Give You All The Life You Need,BuzzFeed
The 38 Best Disney Channel Original Movies,BuzzFeed
49 Thoughts Everyone Has While Taking A Selfie,BuzzFeed
If 13 Disney Movies Were Written For Twentysomethings,BuzzFeed
Obama Says The Administration “Didn’t Make A Hard Sell” For Obamacare,BuzzFeed
19 gatos que estão “por aqui” com as coisas,BuzzFeed
How To Kill A Spider In 12 Easy Steps,BuzzFeed
"69 Inventions Every Girl Wants, Needs, And Deserves",BuzzFeed
10 Reasons Why Friends Make Our Lives Complete,BuzzFeed
64 Completely True Facts Only Nerds Will Appreciate,BuzzFeed
12 Incredible Paintings Of Your Favorite Rappers Set In The 17th Century,BuzzFeed
"11 Things I Learned Being Killed Off On ""Scandal""",BuzzFeed
Lorde Shares Her Own Before-And-After Photoshop Pictures,BuzzFeed
69 Inexplicable Questions Rewatching “Spider-Man” Raises,BuzzFeed
16 Things That Anonymous Virgins Want You To Know,BuzzFeed
Lebanon Passes Anti-Domestic Violence Law But Leaves Out Marital Rape,BuzzFeed
13 Gothic Plants,BuzzFeed
Soccer Hooligans Unite For Ukraine,BuzzFeed
68 pensamientos que pasan por tu mente en cada vuelo,BuzzFeed
9 Fruit Hacks For A Happier Life,BuzzFeed
The “How I Met Your Mother” Ending Fans Deserved,BuzzFeed
29 músicas que nós sabemos que você já cantou errado,BuzzFeed
A Long And Deeply Disturbing History Of Brad Pitt’s Transparent Sunglasses,BuzzFeed
Congress Has An Obsessive Compulsion With Taking Photos In Hard Hats,BuzzFeed
Is The U.S. The Only Party That Still Believes The Israeli-Palestinian Peace Talks Will Succeed?,BuzzFeed
No One Uses The Mobile Web Anymore,BuzzFeed
"Mindy Kaling Thought She Would Find Her Future Husband In Austin, Texas",BuzzFeed
Epic Music Collaborations From The Late 90s/Early 00s You Probably Forgot About,BuzzFeed
8 Questions About The Epistemological Significance Of “Goat Simulator” That You Were Afraid To Ask,BuzzFeed
Rita Ora At The Preview Of The Glamour Of Italian Fashion Exhibition In London,BuzzFeed
Naomi Campbell At The Preview Of The Glamour Of Italian Fashion Exhibition In London,BuzzFeed
Elizabeth Hurley At The Preview Of The Glamour Of Italian Fashion Exhibition In London,BuzzFeed
Nicki Hilton At The ‘Captain America: The Winter Soldier’ Screening In New York City,BuzzFeed
12 Revealing Eating Disorder Confessions,BuzzFeed
Kristin Chenoweth At The 2014 National Corporate Theatre Fund Chairman’s Awards Gala In New York City,BuzzFeed
Rita Ora Goes Shopping In L.A.,BuzzFeed
The 40 Most Upsetting Moments From Britney Spears’ Career,BuzzFeed
Cobie Smulders Outside OfThe “Late Show” In New York City,BuzzFeed
What Happens When You Don’t Take Carl Icahn’s Advice,BuzzFeed
"Brooklyn Decker Doing An Interview For “EXTRA” At University City, California",BuzzFeed
What Love Does To Your Brain,BuzzFeed
Jenna Elfman At The “Make Your Move” Premiere In L.A.,BuzzFeed
Jennifer Connelly At The “Noah” Premiere In London,BuzzFeed
Emma Watson At The “Noah” Premiere In London,BuzzFeed
The 25 Worst Things That Can Happen To A Person,BuzzFeed
What Career Should Your Cat Actually Have?,BuzzFeed
Photographing A Year In India’s Queer “Kothi” Community,BuzzFeed
12 Signs Your Sewing Machine Is Out To Get You,BuzzFeed
28 tragos sensacionales para beber durante el día,BuzzFeed
Nine Rabbits,BuzzFeed
What Your Shoes Reveal About Your Panties,BuzzFeed
13 Things Only Siblings Understand,BuzzFeed
20 Insanely Talented GIF Illustrators You Should Follow,BuzzFeed
Best Hollywood Takes On Crazy Real-Life Crimes,BuzzFeed
25 Ways To Eat Cupcakes For Every Meal,BuzzFeed
Cuban Dissident Yoani Sanchez: The Venezuelan Government Has Hijacked The Country,BuzzFeed
“I Don’t Feel Death Coming / I Feel Death Going”: 3 Poems By James Baldwin,BuzzFeed
"10 Things Learned From The New ""Sex Tape"" Trailer",BuzzFeed
What Sea Creature Are You?,BuzzFeed
24 celebridades cujas tatuagens deram totalmente errado,BuzzFeed
24 Suggested Reactions To Catcallers,BuzzFeed
56 Thoughts Every Woman Has While Browsing OkCupid,BuzzFeed
"Meet Sage The Gemini, The Bay Area Rap Scene’s Surprise Breakout Star",BuzzFeed
83 nuevas pruebas innegables de que los gatos son los mejores,BuzzFeed
27 Alarming Barista Confessions,BuzzFeed
21 Animals Who Watched Mulan Way Too Many Times,BuzzFeed
55 Questions Everyone Asks After College,BuzzFeed
23 Moments From One Direction’s New Fragrance Ad That Prove They Are Full-Grown Babes,BuzzFeed
How “How I Met Your Mother” SHOULD Have Ended,BuzzFeed
11 Old-School Etiquette Rules You Don’t Need To Follow Anymore (And 3 You Do),BuzzFeed
21 maneras en las que tus compañeros de habitación pueden enervarte,BuzzFeed
The Best April Fools’ Day Prank Already Happened In 1957,BuzzFeed
Which Beat Generation Writer Are You?,BuzzFeed
Coping With The HIMYM Finale: A GIF Guide,BuzzFeed
Two Girls Create Kickstarter To Fund Coachella Trip,BuzzFeed
When Catfight Meets Dogfight…,BuzzFeed
5 Tips For Perfect Selfie Stardom (1 Minute Video),BuzzFeed
Kim Kardashian Scared By Elephant While Attempting To Take A Selfie,BuzzFeed
DIY Get-Started Guide: Vegetable Gardening,BuzzFeed
Giuliana And Bill Rancic Play “He Said/She Said”,BuzzFeed
The Browser Extension That Turns The Internet Into A Terrifying And Hilarious Novel,BuzzFeed
26 Of The Most Ridiculous Minor League Baseball Logos You’ll Ever See,BuzzFeed
This Globe Made Of Matchsticks Will Amaze You,BuzzFeed
"GOP Congressman Wants Answers On U.S. Plans For $400,000 Camel Sculpture In Pakistan",BuzzFeed
19 padres que están teniendo un peor día que tú,BuzzFeed
19 Times “How I Met Your Mother” Restored Your Faith In Love,BuzzFeed
You Can Rate D.C. Mayor Vincent Gray On His Facebook Page Like On Yelp,BuzzFeed
How A Beloved Social Media Pioneer Inspired Positive Impact Awards For Latinos,BuzzFeed
The 17 Funniest Dog Pranks,BuzzFeed
Conan O’Brien Would Make The Worst County Deputy Ever,BuzzFeed
Avey Tare’s New Experiment? Simple Pop Music,BuzzFeed
David Ortiz Got A Samsung-Sponsored Selfie With The President And The White House Is Not Pleased,BuzzFeed
"‘Emoji Nation’ Is Art History, According To The Internet",BuzzFeed
This Is The Most Tragically Romantic Guardian Comment Thread Ever,BuzzFeed
"Gay Troop Leader Kicked Out Of Boy Scouts, Believes He’s First Removed Since New Policy Began",BuzzFeed
Blue Jays Third Baseman Likes Butts,BuzzFeed
My Reaction To Tiger Woods Missing The Masters,BuzzFeed
30 Toys Who Had A Rough Night,BuzzFeed
This May Be The Most Diabolical April Fools’ Day Prank Ever,BuzzFeed
21 frustraciones cotidianas que las personas bilingües entenderán,BuzzFeed
Should You Feed Your Mogwai?,BuzzFeed
Who Were You In A Past Life?,BuzzFeed
51 Things You Simply Must Do In Brighton,BuzzFeed
Mindy Kaling On Backhanded Compliments,BuzzFeed
Celebrate April Fool’s Day with 5 of Shakespeare’s Wildest Ruses,BuzzFeed
20 Reasons Judy Yandoli Is The Greatest Person Ever,BuzzFeed
The Next Level Of The Anti-Koch Campaign: Treat David Koch Like A Candidate For Office,BuzzFeed
"There Was A Same-Sex Wedding On Television Set To A Musical, And It Really Was Something Quite Special",BuzzFeed
15 Book Covers That Are More Flawless When You Add Beyoncé,BuzzFeed
Silicon Shore: How Newcastle Quietly Became A Tech Hub,BuzzFeed
13 Important Things Science Taught Us In March,BuzzFeed
Everything You Need To Know About Life And Love You Can Learn From Pizza,BuzzFeed
Which “Peanuts” Character Are You?,BuzzFeed
31 Unbelievable Facts That Make The “Harry Potter” Movies Even More Magical,BuzzFeed
33 poses increíblemente eróticas para fotografías en la alcoba,BuzzFeed
Top 10 Reasons To Donate To Chris Lowell’s Kickstarter,BuzzFeed
Les 20 supplices de la recherche d’appartement,BuzzFeed
Listen To The Parking Lot Champagne Toast Celebrating Obamacare’s 7 Millionth Enrollment,BuzzFeed
The 13 Sexiest Passages From Classic Literature,BuzzFeed
How One Jihadi In Syria Became A Twitter Sensation,BuzzFeed
Which Sweet Valley High Character Are You?,BuzzFeed
25 Struggles Only Yo-Yo Dieters Will Truly Understand,BuzzFeed
27 Signs You Should Quit Your Tech Job,BuzzFeed
Can You Guess This Model’s Famous Folks?,BuzzFeed
19 questions que les moustachus sont fatigués d’entendre,BuzzFeed
Tell Us About Yourself(ie): Tim Simons,BuzzFeed
The “Reasons My Kid Is Crying” Book Is Freaking Hilarious,BuzzFeed
13 Scandalous Wedding Confessions,BuzzFeed
How Many Classic Horror Films Have You Seen?,BuzzFeed
Preposterous Pets: The Jaguar That Goes For A Walk In The Park,BuzzFeed
15 impresionantes ilustraciones de cuentos de hadas de la década de 1920,BuzzFeed
MLB’s Newest Phenominon Is The Dickstand,BuzzFeed
The 24 Weirdest Things Ever Seen On The London Underground,BuzzFeed
Train Surfing Is A Dangerous New Trend In South Africa,BuzzFeed
This French Artist Has Just Entered A Bear,BuzzFeed
Proof Of How The High-Waisted Bikini Will Change Your Summer Experience,BuzzFeed
30 Bros That Are Bro-Ing WAY Too Hard,BuzzFeed
"9 Dream Castings That Would Be Perfect In A Reboot Of ""The Wiz""",BuzzFeed
17 Swedish Secrets That Will Boost Your Career,BuzzFeed
9 frases do Criolo que deixaram o Lázaro Ramos perplexo,BuzzFeed
Un homenaje a todas las damas que lucen un corte rapado.,BuzzFeed
67 Thoughts Everyone Has While Doing Yoga,BuzzFeed
The Cast Of “The Lion King” Musical Sang On A Plane And It Was Like All Your Dreams Coming True At Once,BuzzFeed
This Is The Text Message Parents Received After A Girl Was Crushed To Death By A School Wall,BuzzFeed
David Hasselhoff Is Auctioning Off KITT From “Knight Rider” And A Creepy Mannequin Of Himself,BuzzFeed
Miley Cyrus And Avril Lavigne Wrestle For The Glory Of Canada,BuzzFeed
Elton John Doesn’t Realise He Can’t Get Married Next Month,BuzzFeed
14 cosas que necesitas saber sobre como se obtiene tu tocino,BuzzFeed
30 Delicious Things To Cook In April,BuzzFeed
This Years 20 Best April Fools PR Pranks,BuzzFeed
8 Items That Will Have Gamers Drool Over You,BuzzFeed
The 18 Worst People You Meet At The Gym,BuzzFeed
Death Toll Rises To 36 In Washington Mudslide,BuzzFeed
This Café Looks Like A Giant Vintage Camera And Is Utterly Beautiful,BuzzFeed
Cat Owners Will Understand,BuzzFeed
14 cosas que ocurrirán en tu primera clase de SoulCycle,BuzzFeed
There’s A Website That Tells You How Much Time You’ve Spent Watching Your Favourite TV Shows,BuzzFeed
Man Crosses 170ft High Aqueduct On Unicycle In Death Defying Stunt,BuzzFeed
Did A Car Bomber Really “Blow Himself Up” After Forgetting The Clocks Went Forward?,BuzzFeed
So #AfterSex Selfies Are A Thing On Instagram Right Now,BuzzFeed
25 Problems Only Babysitters Will Understand,BuzzFeed
British Sniper Kills Six Taliban Insurgents With A Single Bullet,BuzzFeed
This Granddad Accidentally Took A Passport Picture Of Himself With Atomic Kitten,BuzzFeed
14 Ordinary Things That Are Pretty Extraordinary,BuzzFeed
Why We Deserved More From The “How I Met Your Mother” Series Finale,BuzzFeed
23 Ways The Hanson Brothers Will Bring Out Your Inner 13-Year-Old,BuzzFeed
50 Australian Books To Read Before You Die,BuzzFeed
"This Cover Of Haim’s ""If I Could Change Your Mind"" Is Amazing",BuzzFeed
The Definitive Guide To Every April Fools’ Day Prank On The Internet This Year,BuzzFeed
The Definitive Ranking Of 2014’s Australian April Fools’ Day Pranks,BuzzFeed
10 Reasons Why We Should All Channel Our Inner Ferris Bueller,BuzzFeed
"Red Lobster Investors Could Lose $850 Million In Value In Spinoff, Says Activist Hedge Fund",BuzzFeed
Vancouver Pizzeria’s Special Ingredient? Marijuana,BuzzFeed
9 Signs TLC Has Gone Too Far,BuzzFeed
Addicted To Beauty Haul Videos? You Are Not Alone,BuzzFeed
The Life And Last Days Of Jordan Davis,BuzzFeed
20 Weirdest Fruits In Asia,BuzzFeed
22 dicas de Tina Belcher para ter os melhores encontros,BuzzFeed
The Best April Fools’ Day Pranks,BuzzFeed
O-Town Is Reuniting After 10 Years,BuzzFeed
7 Images Of Gender Bending Disney Princes That Reveal A Different Kind Of Beauty,BuzzFeed
Heartwarming Prank Has Waitress Getting Insanely Awesome Tips,BuzzFeed
16 Whales Who Are Really Happy About Changes To Japan’s Whaling Program,BuzzFeed
"The 53 Most Pivotal Moments From All Of ""How I Met Your Mother"" In Chronological Order",BuzzFeed
15 Reasons Thelma And Louise Is The Bossest Movie You Need To See,BuzzFeed
No One’s Really Sure How To Feel About The End Of “How I Met Your Mother”,BuzzFeed
Get An Inside Look At The Man Behind The Instagram In This Interview With Dan Bilzerian,BuzzFeed
20 Reasons The Dude Is Who We Should All Aspire To Be,BuzzFeed
Verdade ou mentira? Teste seus conhecimentos neste 1º de abril,BuzzFeed
13 Pictures Of Dogs Primping For The 2014 International Dog Show,BuzzFeed
#RipZaynMalik Is Terrorizing,BuzzFeed
Dating Will Never Be The Same Again. EVER.,BuzzFeed
This Video Of A Tree Falling On A Guy’s Head Is Exactly Why You Shouldn’t Mess With Nature,BuzzFeed
62 Thoughts Everyone Has When Their Internet Is Down,BuzzFeed
The Not-So-Funny Jokes Of Having An April Fool’s Birthday,BuzzFeed
14 Reasons It Totally Sucks To Be A Baby Goat,BuzzFeed
